A1BG	496
A1CF	587
A1CF_ENST00000282641	595
A1CF_ENST00000373995	595
A2LD1	154
A2M	1475
A2ML1	1455
A2RRG4_HUMAN	193
A3GALT2P	341
A4D198_HUMAN	231
A4D226_HUMAN	234
A4GALT	354
A4GNT	341
AAAS	547
AACS	673
AADAC	400
AADACL2	380
AADACL2_ENST00000356517	402
AADACL3	281
AADACL3_ENST00000359318	351
AADACL4	408
AADAT	426
AAGAB	316
AAK1	864
AAK1_ENST00000409085	962
AAMP	435
AANAT	208
AANAT_ENST00000250615	253
AARS	969
AARS2	986
AARSD1	526
AASDH	1099
AASDHPPT	310
AASDH_ENST00000502617	842
AASS	927
AATF	561
AATK	1375
AATK_ENST00000326724	1375
AB019437_1	116
ABAT	501
ABCA1	2262
ABCA10	1544
ABCA12	2596
ABCA12_ENST00000389661	2278
ABCA13	5004
ABCA13_ENST00000435803	5059
ABCA1_ENST00000423487	364
ABCA2	2437
ABCA3	1705
ABCA4	2274
ABCA4_ENST00000535735	980
ABCA5	1643
ABCA6	1618
ABCA6_ENST00000590645	186
ABCA7	2147
ABCA8	1582
ABCA8_ENST00000430352	1622
ABCA9	1625
ABCB1	1281
ABCB10	739
ABCB11	1322
ABCB11_ENST00000263817	1322
ABCB4	1280
ABCB5	813
ABCB5_ENST00000404938	1258
ABCB5_ENST00000443026	132
ABCB6	843
ABCB6_ENST00000265316	843
ABCB7	754
ABCB8	719
ABCB8_ENST00000356058	468
ABCB8_ENST00000542328	631
ABCB9	767
ABCC1	1532
ABCC10	1465
ABCC10_ENST00000372530	1493
ABCC11	1383
ABCC12	1360
ABCC1_ENST00000399408	1542
ABCC2	1546
ABCC3	1528
ABCC3_ENST00000427699	573
ABCC4	1326
ABCC4_ENST00000376887	1326
ABCC5	1438
ABCC5_ENST00000382494	209
ABCC6	1504
ABCC8	1582
ABCC9	1550
ABCC9_ENST00000261201	1550
ABCD1	746
ABCD1_ENST00000370129	228
ABCD1_ENST00000443684	223
ABCD2	741
ABCD3	660
ABCD3_ENST00000315713	237
ABCD4	607
ABCD4_ENST00000537629	98
ABCE1	600
ABCF1	846
ABCF2	624
ABCF2_ENST00000222388	635
ABCF3	710
ABCG1	679
ABCG1_ENST00000398437	825
ABCG1_ENST00000398457	669
ABCG2	656
ABCG2_ENST00000237612	656
ABCG4	647
ABCG5	652
ABCG8	674
ABHD1	406
ABHD10	307
ABHD11	316
ABHD12	405
ABHD12B	286
ABHD12B_ENST00000337334	363
ABHD12_ENST00000339157	399
ABHD12_ENST00000450393	187
ABHD13	338
ABHD14A	272
ABHD14B	211
ABHD14B_ENST00000315877	209
ABHD15	469
ABHD16A	559
ABHD16A_ENST00000538874	146
ABHD16B	470
ABHD2	426
ABHD3	410
ABHD4	343
ABHD5	350
ABHD6	338
ABHD8	440
ABI1	509
ABI2	476
ABI2_ENST00000295851	514
ABI3	367
ABI3BP	1077
ABI3BP_ENST00000383691	1030
ABI3BP_ENST00000471714	1778
ABL1	1131
ABL1_ENST00000318560	1131
ABL1_ENST00000372348	1150
ABL2	1147
ABL2_ENST00000392043	543
ABL2_ENST00000502732	1183
ABL2_ENST00000512653	1168
ABLIM1	719
ABLIM1_ENST00000277895	847
ABLIM1_ENST00000336585	779
ABLIM1_ENST00000392952	456
ABLIM1_ENST00000392955	653
ABLIM1_ENST00000440467	173
ABLIM2	646
ABLIM2_ENST00000296372	574
ABLIM2_ENST00000361737	532
ABLIM3	684
ABLIM3_ENST00000504238	545
ABO	354
ABP1	752
ABP1_ENST00000416793	771
ABR	860
ABRA	382
ABRACL	68
ABR_ENST00000291107	823
ABT1	273
ABTB1	479
ABTB2	840
ABTB2_ENST00000435224	1026
AC002472.13	392
AC003101.1	145
AC003101.1_ENST00000412403	145
AC004148.1	187
AC005329.1	150
AC005392.1	122
AC005392.1_ENST00000378007	122
AC005609.1	193
AC005609.1_ENST00000502505	193
AC005754.1	588
AC005754.1_ENST00000539533	588
AC005838.1	244
AC005838.1_ENST00000312127	244
AC007731_16	302
AC008537_5-2	105
AC008969.1	385
AC009365.3	151
AC009365.3_ENST00000332558	151
AC010872_2	1935
AC010997.1	209
AC011537.1	192
AC011537.1_ENST00000412610	192
AC011551.2	172
AC011551.2_ENST00000414155	172
AC012100.1	521
AC013469_8-2	390
AC015804.1	155
AC015804.1_ENST00000374983	155
AC022098.2	362
AC022498.1	125
AC022601.1	372
AC022601.1_ENST00000554864	372
AC023469_1	92
AC026458.2	362
AC027369_8	467
AC068473.1	181
AC073082.1	122
AC073082.1_ENST00000378305	122
AC073343.1	390
AC073343.1_ENST00000399484	380
AC073343.1_ENST00000542006	223
AC073343.1_ENST00000544825	390
AC079612.1	197
AC087645.2	224
AC087645.3	151
AC091132.2	111
AC092031.1	129
AC092070_2	461
AC093393.1	246
AC093726.6	106
AC097374_3	264
AC097381.1	272
AC099524.1	680
AC103710_2	297
AC112491_4	231
AC114273.2	218
AC114772.1	356
AC114772.1_ENST00000339092	356
AC120042.2	151
AC125494.1	140
